message
"{'loss': 0.1613, 'learning_rate': 4.950983824662139e-05, 'epoch': 0.02}"
"{'loss': 0.147, 'learning_rate': 4.950400298765259e-05, 'epoch': 0.02}"
"{'loss': 0.1289, 'learning_rate': 4.9498167728683806e-05, 'epoch': 0.02}"
"{'loss': 0.139, 'learning_rate': 4.949233246971501e-05, 'epoch': 0.02}"
"{'loss': 0.1622, 'learning_rate': 4.9486497210746215e-05, 'epoch': 0.02}"
"{'loss': 0.1156, 'learning_rate': 4.948066195177742e-05, 'epoch': 0.02}"
"{'loss': 0.1548, 'learning_rate': 4.947482669280863e-05, 'epoch': 0.02}"
"{'loss': 0.172, 'learning_rate': 4.946899143383983e-05, 'epoch': 0.02}"
"{'loss': 0.1196, 'learning_rate': 4.946315617487105e-05, 'epoch': 0.02}"
"{'loss': 0.1309, 'learning_rate': 4.945732091590225e-05, 'epoch': 0.02}"
"{'loss': 0.1836, 'learning_rate': 4.9451485656933456e-05, 'epoch': 0.02}"
"{'loss': 0.1968, 'learning_rate': 4.9445650397964664e-05, 'epoch': 0.02}"
"{'loss': 0.1458, 'learning_rate': 4.943981513899587e-05, 'epoch': 0.02}"
"{'loss': 0.1553, 'learning_rate': 4.943397988002707e-05, 'epoch': 0.02}"
"{'loss': 0.1388, 'learning_rate': 4.942814462105829e-05, 'epoch': 0.02}"
"{'loss': 0.1578, 'learning_rate': 4.942230936208949e-05, 'epoch': 0.02}"
"{'loss': 0.1247, 'learning_rate': 4.94164741031207e-05, 'epoch': 0.02}"
"{'loss': 0.2032, 'learning_rate': 4.9410638844151905e-05, 'epoch': 0.02}"
"{'loss': 0.1435, 'learning_rate': 4.940480358518311e-05, 'epoch': 0.02}"
"{'loss': 0.1691, 'learning_rate': 4.939896832621432e-05, 'epoch': 0.02}"
"{'loss': 0.1082, 'learning_rate': 4.939313306724553e-05, 'epoch': 0.02}"
"{'loss': 0.1684, 'learning_rate': 4.938729780827673e-05, 'epoch': 0.02}"
"{'loss': 0.1369, 'learning_rate': 4.938146254930794e-05, 'epoch': 0.02}"
"{'loss': 0.1559, 'learning_rate': 4.9375627290339146e-05, 'epoch': 0.02}"
"{'loss': 0.1325, 'learning_rate': 4.9369792031370354e-05, 'epoch': 0.02}"
"{'loss': 0.1483, 'learning_rate': 4.936395677240156e-05, 'epoch': 0.02}"
"{'loss': 0.1763, 'learning_rate': 4.935812151343277e-05, 'epoch': 0.02}"
"{'loss': 0.1473, 'learning_rate': 4.935228625446398e-05, 'epoch': 0.02}"
"{'loss': 0.1622, 'learning_rate': 4.934645099549518e-05, 'epoch': 0.02}"
"{'loss': 0.1842, 'learning_rate': 4.9340615736526394e-05, 'epoch': 0.02}"
"{'loss': 0.1267, 'learning_rate': 4.9334780477557595e-05, 'epoch': 0.02}"
"{'loss': 0.1983, 'learning_rate': 4.93289452185888e-05, 'epoch': 0.02}"
"{'loss': 0.1445, 'learning_rate': 4.932310995962001e-05, 'epoch': 0.02}"
"{'loss': 0.2141, 'learning_rate': 4.931727470065122e-05, 'epoch': 0.02}"
"{'loss': 0.1808, 'learning_rate': 4.931143944168242e-05, 'epoch': 0.02}"
"{'loss': 0.1786, 'learning_rate': 4.9305604182713635e-05, 'epoch': 0.02}"
"{'loss': 0.1554, 'learning_rate': 4.9299768923744836e-05, 'epoch': 0.02}"
"{'loss': 0.2251, 'learning_rate': 4.9293933664776044e-05, 'epoch': 0.02}"
"{'loss': 0.2223, 'learning_rate': 4.928809840580725e-05, 'epoch': 0.02}"
"{'loss': 0.1713, 'learning_rate': 4.928226314683846e-05, 'epoch': 0.02}"
"{'loss': 0.1794, 'learning_rate': 4.927642788786966e-05, 'epoch': 0.02}"
"{'loss': 0.1428, 'learning_rate': 4.9270592628900876e-05, 'epoch': 0.02}"
"{'loss': 0.1217, 'learning_rate': 4.926475736993208e-05, 'epoch': 0.02}"
"{'loss': 0.1533, 'learning_rate': 4.9258922110963285e-05, 'epoch': 0.02}"
"{'loss': 0.145, 'learning_rate': 4.925308685199449e-05, 'epoch': 0.02}"
"{'loss': 0.1253, 'learning_rate': 4.92472515930257e-05, 'epoch': 0.02}"
"{'loss': 0.1372, 'learning_rate': 4.924141633405691e-05, 'epoch': 0.02}"
"{'loss': 0.1604, 'learning_rate': 4.923558107508812e-05, 'epoch': 0.02}"
"{'loss': 0.1636, 'learning_rate': 4.922974581611932e-05, 'epoch': 0.02}"
"{'loss': 0.1522, 'learning_rate': 4.9223910557150526e-05, 'epoch': 0.02}"
"{'loss': 0.1293, 'learning_rate': 4.9218075298181734e-05, 'epoch': 0.02}"
"{'loss': 0.1082, 'learning_rate': 4.921224003921294e-05, 'epoch': 0.02}"
"{'loss': 0.173, 'learning_rate': 4.920640478024415e-05, 'epoch': 0.02}"
"{'loss': 0.1661, 'learning_rate': 4.920056952127536e-05, 'epoch': 0.02}"
"{'loss': 0.1034, 'learning_rate': 4.9194734262306566e-05, 'epoch': 0.02}"
"{'loss': 0.1582, 'learning_rate': 4.918889900333777e-05, 'epoch': 0.02}"
"{'loss': 0.1777, 'learning_rate': 4.918306374436898e-05, 'epoch': 0.02}"
"{'loss': 0.1401, 'learning_rate': 4.917722848540018e-05, 'epoch': 0.02}"
"{'loss': 0.1436, 'learning_rate': 4.917139322643139e-05, 'epoch': 0.02}"
"{'loss': 0.1727, 'learning_rate': 4.91655579674626e-05, 'epoch': 0.02}"
"{'loss': 0.1455, 'learning_rate': 4.915972270849381e-05, 'epoch': 0.02}"
"{'loss': 0.143, 'learning_rate': 4.915388744952501e-05, 'epoch': 0.02}"
"{'loss': 0.1282, 'learning_rate': 4.914805219055622e-05, 'epoch': 0.02}"
"{'loss': 0.1844, 'learning_rate': 4.9142216931587424e-05, 'epoch': 0.02}"
"{'loss': 0.1233, 'learning_rate': 4.913638167261863e-05, 'epoch': 0.02}"
"{'loss': 0.1319, 'learning_rate': 4.913054641364984e-05, 'epoch': 0.02}"
"{'loss': 0.1611, 'learning_rate': 4.912471115468105e-05, 'epoch': 0.02}"
"{'loss': 0.1782, 'learning_rate': 4.911887589571225e-05, 'epoch': 0.02}"
"{'loss': 0.1401, 'learning_rate': 4.9113040636743464e-05, 'epoch': 0.02}"
"{'loss': 0.1886, 'learning_rate': 4.9107205377774665e-05, 'epoch': 0.02}"
"{'loss': 0.1488, 'learning_rate': 4.910137011880587e-05, 'epoch': 0.02}"
"{'loss': 0.149, 'learning_rate': 4.909553485983708e-05, 'epoch': 0.02}"
"{'loss': 0.1703, 'learning_rate': 4.908969960086829e-05, 'epoch': 0.02}"
"{'loss': 0.1434, 'learning_rate': 4.90838643418995e-05, 'epoch': 0.02}"
"{'loss': 0.1467, 'learning_rate': 4.9078029082930705e-05, 'epoch': 0.02}"
"{'loss': 0.1408, 'learning_rate': 4.907219382396191e-05, 'epoch': 0.02}"
"{'loss': 0.1543, 'learning_rate': 4.9066358564993114e-05, 'epoch': 0.02}"
"{'loss': 0.1528, 'learning_rate': 4.906052330602432e-05, 'epoch': 0.02}"
"{'loss': 0.1723, 'learning_rate': 4.905468804705553e-05, 'epoch': 0.02}"
"{'loss': 0.1704, 'learning_rate': 4.904885278808674e-05, 'epoch': 0.02}"
"{'loss': 0.1649, 'learning_rate': 4.9043017529117946e-05, 'epoch': 0.02}"
"{'loss': 0.163, 'learning_rate': 4.9037182270149154e-05, 'epoch': 0.02}"
"{'loss': 0.1488, 'learning_rate': 4.9031347011180355e-05, 'epoch': 0.03}"
"{'loss': 0.1441, 'learning_rate': 4.902551175221157e-05, 'epoch': 0.03}"
"{'loss': 0.1984, 'learning_rate': 4.901967649324277e-05, 'epoch': 0.03}"
"{'loss': 0.2209, 'learning_rate': 4.901384123427398e-05, 'epoch': 0.03}"
"{'loss': 0.1523, 'learning_rate': 4.900800597530519e-05, 'epoch': 0.03}"
"{'loss': 0.1806, 'learning_rate': 4.9002170716336395e-05, 'epoch': 0.03}"
"{'loss': 0.1735, 'learning_rate': 4.8996335457367596e-05, 'epoch': 0.03}"
"{'loss': 0.1462, 'learning_rate': 4.899050019839881e-05, 'epoch': 0.03}"
"{'loss': 0.1774, 'learning_rate': 4.898466493943001e-05, 'epoch': 0.03}"
"{'loss': 0.1667, 'learning_rate': 4.897882968046122e-05, 'epoch': 0.03}"
"{'loss': 0.1013, 'learning_rate': 4.897299442149243e-05, 'epoch': 0.03}"
"{'loss': 0.1602, 'learning_rate': 4.8967159162523636e-05, 'epoch': 0.03}"
"{'loss': 0.1678, 'learning_rate': 4.896132390355484e-05, 'epoch': 0.03}"
"{'loss': 0.1666, 'learning_rate': 4.895548864458605e-05, 'epoch': 0.03}"
"{'loss': 0.1169, 'learning_rate': 4.894965338561725e-05, 'epoch': 0.03}"
"{'loss': 0.124, 'learning_rate': 4.894381812664846e-05, 'epoch': 0.03}"
"{'loss': 0.1573, 'learning_rate': 4.893798286767967e-05, 'epoch': 0.03}"
"{'loss': 0.1576, 'learning_rate': 4.893214760871088e-05, 'epoch': 0.03}"
"{'loss': 0.1561, 'learning_rate': 4.8926312349742085e-05, 'epoch': 0.03}"
"{'loss': 0.153, 'learning_rate': 4.892047709077329e-05, 'epoch': 0.03}"
"{'loss': 0.1913, 'learning_rate': 4.89146418318045e-05, 'epoch': 0.03}"
"{'loss': 0.1798, 'learning_rate': 4.89088065728357e-05, 'epoch': 0.03}"
"{'loss': 0.1496, 'learning_rate': 4.890297131386691e-05, 'epoch': 0.03}"
"{'loss': 0.1304, 'learning_rate': 4.889713605489812e-05, 'epoch': 0.03}"
"{'loss': 0.1519, 'learning_rate': 4.8891300795929326e-05, 'epoch': 0.03}"
"{'loss': 0.1531, 'learning_rate': 4.8885465536960534e-05, 'epoch': 0.03}"
"{'loss': 0.1979, 'learning_rate': 4.887963027799174e-05, 'epoch': 0.03}"
"{'loss': 0.1393, 'learning_rate': 4.887379501902294e-05, 'epoch': 0.03}"
"{'loss': 0.1426, 'learning_rate': 4.886795976005416e-05, 'epoch': 0.03}"
"{'loss': 0.1396, 'learning_rate': 4.886212450108536e-05, 'epoch': 0.03}"
"{'loss': 0.1448, 'learning_rate': 4.885628924211657e-05, 'epoch': 0.03}"
"{'loss': 0.1867, 'learning_rate': 4.8850453983147775e-05, 'epoch': 0.03}"
